Point_No,Trial_X,Trial_Y,Distance,Pos_X,Pos_Y
0,36,7,5.0990195135927845,37.0,12.0
1,37,7,7.280109889280518,39.0,14.0
2,39,7,2.23606797749979,41.0,8.0
3,40,7,1.0,41.0,7.0
4,42,7,1.0,41.0,7.0
5,43,7,2.0,41.0,7.0
6,44,8,2.0,44.0,10.0
7,44,10,0.0,44.0,10.0
8,44,11,1.0,44.0,10.0
9,44,12,2.23606797749979,45.0,10.0
10,42,14,6.324555320336759,44.0,8.0
11,41,14,5.830951894845301,44.0,9.0
12,40,14,6.4031242374328485,44.0,9.0
13,39,14,7.810249675906654,45.0,9.0
14,37,14,7.615773105863909,44.0,11.0
15,36,14,5.385164807134504,41.0,12.0
16,35,14,6.324555320336759,41.0,12.0
17,34,14,8.246211251235321,42.0,12.0
18,32,14,9.219544457292887,41.0,12.0
19,31,14,5.830951894845301,36.0,11.0
20,30,14,7.211102550927978,36.0,10.0
21,29,15,1.4142135623730951,30.0,14.0
22,29,16,2.23606797749979,30.0,14.0
23,28,17,3.1622776601683795,29.0,14.0
24,27,17,10.04987562112089,26.0,7.0
25,25,17,5.0,29.0,14.0
26,24,17,5.385164807134504,29.0,15.0
27,23,17,4.0,27.0,17.0
28,21,17,11.40175425099138,32.0,14.0
29,19,17,13.341664064126334,32.0,14.0
30,18,17,11.180339887498949,29.0,15.0
31,17,17,7.0,24.0,17.0
32,15,17,6.0,21.0,17.0
33,14,17,7.810249675906654,19.0,11.0
34,13,17,8.06225774829855,17.0,10.0
35,11,17,9.219544457292887,17.0,10.0
36,10,17,9.219544457292887,16.0,10.0
